,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
132,castro,2,BR,1666412789,96,-24.7911,-50.0119,55.31,3.91
133,dubti,0,ET,1666412789,59,11.7361,41.0853,78.35,9.24
134,bethel,0,US,1666412789,85,41.3712,-73.414,50.63,0.0
135,san cristobal,100,VE,1666412790,98,7.7669,-72.225,69.98,0.98
136,cayenne,20,GF,1666412790,100,4.9333,-52.3333,75.24,0.0
137,mitsamiouli,40,KM,1666412790,73,-11.3847,43.2844,77.29,9.22
138,los llanos de aridane,0,ES,1666412791,62,28.6585,-17.9182,66.13,7.0
139,nikolskoye,100,RU,1666412791,91,59.7035,30.7861,40.91,3.51
140,codajas,97,BR,1666412791,90,-3.8367,-62.0569,77.23,1.79
141,hobyo,62,SO,1666412792,79,5.3505,48.5268,79.07,15.23
142,naze,100,JP,1666412792,84,28.3667,129.4833,79.72,15.59
143,carsamba,40,TR,1666412793,100,41.1989,36.7219,49.78,3.44
144,skoghall,99,SE,1666412793,91,59.3232,13.4655,44.29,7.23
145,cidreira,100,BR,1666412793,91,-30.1811,-50.2056,63.41,14.76
146,khon buri,100,TH,1666412794,78,14.5254,102.2459,83.01,10.36
147,severo-kurilsk,100,RU,1666412794,64,50.6789,156.125,42.12,8.81
148,airai,58,TL,1666412794,44,-8.9266,125.4092,79.25,2.26
149,bathsheba,20,BB,1666412795,83,13.2167,-59.5167,81.21,10.36
150,dakar,2,SN,1666412664,75,14.6937,-17.4441,77.88,12.66
151,kutum,49,SD,1666412795,27,14.2,24.6667,68.32,5.82
152,barrow,100,US,1666412796,86,71.2906,-156.7887,26.62,23.02
153,mitchell,0,US,1666412796,54,43.7094,-98.0298,51.78,6.91
154,coffs harbour,40,AU,1666412499,78,-30.3,153.1333,69.76,16.11
155,richards bay,100,ZA,1666412796,96,-28.783,32.0377,69.73,3.33
156,catamarca,0,AR,1666412797,39,-28.4696,-65.7852,69.58,4.65
157,dingle,98,PH,1666412797,68,10.9995,122.6711,87.76,8.08
158,codrington,36,AU,1666412797,79,-38.2667,141.9667,61.27,10.92
159,baiyin,100,CN,1666412798,28,36.5583,104.2081,56.34,1.99
160,kavieng,77,PG,1666412798,68,-2.5744,150.7967,83.68,9.24
161,myitkyina,53,MM,1666412798,47,25.3833,97.4,86.99,1.7
162,elat,20,IL,1666412574,78,29.5581,34.9482,71.44,4.61
163,marawi,97,PH,1666412799,83,7.9986,124.2928,77.67,4.21
164,urazovo,95,RU,1666412799,79,50.0836,38.0395,35.08,3.15
165,leningradskiy,100,RU,1666412800,98,69.3833,178.4167,27.72,2.26
166,sangin,12,AF,1666412800,11,32.0728,64.8359,69.87,2.59
167,fortuna,40,US,1666412800,88,40.5982,-124.1573,57.92,1.01
168,vestmannaeyjar,89,IS,1666412801,74,63.4427,-20.2734,41.09,1.03
